"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,"Information and cultural industries  [51]","2007","687,284","745"
,,"2008","709,105","696"
,,"2009","713,373","589"
,,"2010","627,940","600"
,,"2011","466,794","600"
,,"2012","249,537","638"
,,"2013","230,419","577"
,,"2014","251,928","554"
,,"2015","393,713","525"
,,"2016","258,552","517"
,,"2017","254,885","482"
,,"2018","293,984","484"
,,"2019","367,046","515"
,,"2020","302,992","398"
,,"2021","279,884","442"
,,"2022","408,918","475"
,,"2023","394,896","477"
,,"2024","315,474","455"
,"Finance and insurance  [52]","2007","2,607,198","508"
,,"2008","3,649,646","483"
,,"2009","2,697,534","414"
,,"2010","5,480,968","435"
,,"2011","6,079,466","478"
,,"2012","8,711,890","455"
,,"2013","6,453,192","443"
,,"2014","4,290,747","434"
,,"2015","5,406,400","464"
,,"2016","5,951,114","442"
,,"2017","5,097,724","433"
,,"2018","7,154,048","486"
,,"2019","6,759,084","455"
,,"2020","4,687,315","404"
,,"2021","6,209,841","458"
,,"2022","5,794,615","439"
,,"2023","11,650,061","445"
,,"2024","11,172,116","402"
,"Real estate and rental and leasing  [53]","2007","751,170","704"
,,"2008","755,260","642"
,,"2009","324,294","595"
,,"2010","316,990","655"
,,"2011","324,836","795"
,,"2012","383,152","790"
,,"2013","459,488","758"
,,"2014","400,107","792"
,,"2015","668,719","899"
,,"2016","485,138","821"
,,"2017","566,151","801"
,,"2018","787,370","941"
,,"2019","915,402","982"
,,"2020","1,002,151","951"
,,"2021","968,436","1,313"
,,"2022","430,301","1,295"
,,"2023","541,291","1,263"
,,"2024","324,638","1,173"
,"Professional, scientific and technical services  [54]","2007","5,723,442","3,728"
,,"2008","4,311,465","3,425"
,,"2009","3,400,582","2,996"
,,"2010","4,102,956","2,730"
,,"2011","2,990,506","2,946"
,,"2012","2,531,284","2,787"
,,"2013","3,455,999","2,687"
,,"2014","3,554,718","2,686"
,,"2015","4,121,477","2,762"
,,"2016","3,635,710","2,642"
,,"2017","2,819,634","2,655"
,,"2018","3,207,552","2,910"
,,"2019","3,010,610","3,037"
,,"2020","3,282,205","2,826"
,,"2021","3,303,289","3,307"
,,"2022","3,464,569","3,390"
,,"2023","3,627,006","3,377"
,,"2024","4,049,689","3,333"
,"Management of companies and enterprises  [55]","2007","4,728,471","407"
,,"2008","4,397,289","460"
,,"2009","2,781,504","516"
,,"2010","5,857,921","690"
,,"2011","4,988,790","705"
,,"2012","5,631,168","783"
,,"2013","7,234,069","747"
,,"2014","8,885,983","807"
,,"2015","6,641,014","791"
,,"2016","2,830,554","653"
,,"2017","4,248,616","695"
,,"2018","2,233,921","512"
