"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,"Non-metallic mineral product manufacturing  [327]","2007","144,813","78"
,,"2008","139,121","75"
,,"2009","104,678","77"
,,"2010","93,797","70"
,,"2011","103,759","78"
,,"2012","112,041","65"
,,"2013","122,181","75"
,,"2014","109,125","74"
,,"2015","148,521","70"
,,"2016","196,390","73"
,,"2017","216,329","75"
,,"2018","229,721","65"
,,"2019","219,764","69"
,,"2020","202,707","56"
,,"2021","168,906","65"
,,"2022","230,022","61"
,,"2023","256,156","66"
,,"2024","265,859","65"
,"Primary metal manufacturing  [331]","2007","634,564","43"
,,"2008","911,014","35"
,,"2009","1,075,842","38"
,,"2010","1,450,621","38"
,,"2011","1,677,188","36"
,,"2012","1,539,604","32"
,,"2013","1,280,648","28"
,,"2014","1,268,250","31"
,,"2015","1,452,489","30"
,,"2016","2,359,625","29"
,,"2017","2,809,269","28"
,,"2018","2,896,865","27"
,,"2019","2,195,655","27"
,,"2020","1,770,734","27"
,,"2021","2,114,861","28"
,,"2022","2,439,179","27"
,,"2023","2,499,195","27"
,,"2024","2,761,737","27"
,"Fabricated metal product manufacturing  [332]","2007","384,133","284"
,,"2008","395,721","283"
,,"2009","293,873","261"
,,"2010","225,673","254"
,,"2011","264,694","246"
,,"2012","300,315","261"
,,"2013","302,329","234"
,,"2014","366,023","248"
,,"2015","446,191","256"
,,"2016","393,294","257"
,,"2017","492,938","273"
,,"2018","542,322","281"
,,"2019","459,647","286"
,,"2020","480,304","265"
,,"2021","544,595","270"
,,"2022","663,243","265"
,,"2023","741,899","281"
,,"2024","727,541","289"
,"Machinery manufacturing  [333]","2007","1,088,139","294"
,,"2008","920,170","279"
,,"2009","620,083","259"
,,"2010","671,619","271"
,,"2011","765,894","274"
,,"2012","832,875","270"
,,"2013","856,476","272"
,,"2014","1,018,621","257"
,,"2015","1,280,106","252"
,,"2016","1,281,575","237"
,,"2017","1,340,529","247"
,,"2018","1,326,379","249"
,,"2019","1,454,829","235"
,,"2020","1,361,872","231"
,,"2021","1,400,289","256"
,,"2022","1,959,125","269"
,,"2023","2,013,895","278"
,,"2024","2,036,513","270"
,"Computer and electronic product manufacturing  [334]","2007","763,189","164"
,,"2008","717,278","159"
,,"2009","625,394","152"
,,"2010","653,838","147"
,,"2011","640,291","142"
,,"2012","671,596","145"
,,"2013","708,811","148"
,,"2014","762,478","143"
,,"2015","817,711","128"
,,"2016","728,498","129"
,,"2017","759,496","127"
,,"2018","611,621","126"
,,"2019","824,904","132"
,,"2020","834,687","120"
,,"2021","929,314","124"
,,"2022","1,297,472","129"
,,"2023","1,336,816","135"
,,"2024","1,080,190","120"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","236,438","63"
,,"2008","310,808","66"
,,"2009","198,621","61"
,,"2010","206,146","64"
,,"2011","233,656","66"
,,"2012","235,561","69"
,,"2013","235,758","70"
,,"2014","277,223","77"
,,"2015","282,486","75"
,,"2016","305,519","80"
,,"2017","392,663","75"
,,"2018","416,383","80"
,,"2019","392,452","84"
,,"2020","479,391","86"
,,"2021","470,626","89"
,,"2022","533,839","93"
,,"2023","632,620","91"
,,"2024","645,886","90"
,"Transportation equipment manufacturing  [336]","2007","609,280","158"
,,"2008","543,342","144"
,,"2009","390,349","136"
,,"2010","442,186","132"
,,"2011","504,758","131"
,,"2012","615,648","123"
,,"2013","665,827","118"
,,"2014","720,428","120"
,,"2015","801,037","123"
,,"2016","757,883","127"
,,"2017","661,023","130"
,,"2018","755,208","125"
,,"2019","792,165","122"
,,"2020","654,733","122"
,,"2021","899,027","127"
,,"2022","872,687","128"
,,"2023","936,791","125"
,,"2024","920,245","138"
,"Furniture and related product manufacturing  [337]","2007","124,757","134"
,,"2008","113,156","120"
,,"2009","77,230","98"
,,"2010","91,737","109"
,,"2011","85,118","94"
,,"2012","78,791","109"
,,"2013","95,443","92"
,,"2014","96,517","90"
,,"2015","121,524","94"
,,"2016","163,370","88"
,,"2017","155,701","95"
,,"2018","168,833","88"
,,"2019","195,763","98"
,,"2020","204,369","98"
,,"2021","215,199","99"
,,"2022","238,094","99"
,,"2023","247,563","103"
,,"2024","205,165","105"
,"Miscellaneous manufacturing  [339]","2007","217,027","270"
,,"2008","172,925","261"
,,"2009","147,256","239"
,,"2010","219,127","236"
,,"2011","240,695","245"
,,"2012","173,316","240"
,,"2013","152,970","233"
,,"2014","166,492","229"
,,"2015","193,265","226"
,,"2016","230,299","235"
,,"2017","232,580","226"
,,"2018","337,234","231"
,,"2019","309,402","226"
,,"2020","332,217","231"
,,"2021","354,300","249"
,,"2022","453,648","231"
,,"2023","464,112","224"
,,"2024","401,064","216"
,"Wholesale trade  [41]","2007","5,504,085","2,079"
,,"2008","5,171,310","1,948"
,,"2009","5,018,603","1,720"
,,"2010","3,337,638","1,656"
,,"2011","3,352,510","1,747"
,,"2012","4,173,625","1,756"
,,"2013","4,978,115","1,728"
,,"2014","7,156,217","1,782"
,,"2015","7,385,061","1,811"
,,"2016","8,604,541","1,805"
,,"2017","9,436,870","1,792"
,,"2018","10,266,860","1,823"
,,"2019","7,290,605","1,757"
,,"2020","6,444,573","1,670"
,,"2021","7,570,257","1,741"
,,"2022","7,368,890","1,772"
,,"2023","5,729,180","1,777"
,,"2024","6,878,054","1,711"
,"Retail trade  [44-45]","2007","161,849","605"
,,"2008","144,898","522"
,,"2009","120,170","487"
,,"2010","129,226","457"
,,"2011","133,329","525"
,,"2012","144,243","572"
,,"2013","147,364","570"
,,"2014","586,334","602"
,,"2015","910,582","640"
,,"2016","397,348","685"
,,"2017","385,152","686"
,,"2018","465,450","741"
,,"2019","436,135","776"
,,"2020","357,792","750"
,,"2021","556,374","826"
,,"2022","332,041","796"
,,"2023","298,492","821"
,,"2024","345,812","876"
,"Transportation and warehousing  [48-49]","2007","609,579","284"
,,"2008","726,669","265"
,,"2009","486,162","236"
,,"2010","701,737","222"
,,"2011","320,790","222"
,,"2012","542,802","242"
,,"2013","433,312","258"
,,"2014","308,075","260"
,,"2015","444,637","281"
,,"2016","346,597","301"
,,"2017","347,180","307"
,,"2018","406,239","313"
,,"2019","528,220","293"
,,"2020","428,630","307"
,,"2021","385,280","342"
,,"2022","505,456","388"
,,"2023","793,564","384"
,,"2024","692,645","395"
,"Information and cultural industries  [51]","2007","133,462","115"
,,"2008","124,628","103"
,,"2009","109,325","85"
,,"2010","81,710","97"
,,"2011","35,880","97"
,,"2012","23,868","101"
,,"2013","24,876","88"
,,"2014","16,597","84"
,,"2015","16,398","71"
,,"2016","38,012","85"
,,"2017","14,502","57"
,,"2018","14,763","62"
,,"2019","46,813","63"
,,"2020","45,036","58"
,,"2021","18,725","65"
,,"2022","37,506","70"
,,"2023","36,917","63"
,,"2024","40,971","65"
,"Finance and insurance  [52]","2007","173,182","65"
,,"2008","85,419","66"
,,"2009","88,139","63"
,,"2010","305,710","61"
,,"2011","78,079","62"
,,"2012","63,754","61"
,,"2013","268,253","63"
,,"2014","85,566","64"
,,"2015","85,018","68"
,,"2016","123,008","66"
,,"2017","158,209","59"
,,"2018","241,087","67"
,,"2019","221,549","61"
,,"2020","89,107","55"
,,"2021","108,070","70"
,,"2022","116,031","57"
,,"2023","120,445","62"
,,"2024","62,501","47"
,"Real estate and rental and leasing  [53]","2007","16,689","97"
,,"2008","17,093","87"
,,"2009","11,123","72"
,,"2010","20,735","91"
,,"2011","42,127","119"
,,"2012","43,491","109"
,,"2013","72,601","88"
,,"2014","61,081","92"
,,"2015","89,896","108"
,,"2016","115,414","108"
,,"2017","121,077","126"
,,"2018","156,889","137"
,,"2019","189,552","151"
,,"2020","219,893","154"
,,"2021","306,773","211"
,,"2022","55,808","198"
,,"2023","72,310","230"
,,"2024","43,368","191"
,"Professional, scientific and technical services  [54]","2007","402,660","566"
,,"2008","487,898","504"
,,"2009","343,131","446"
,,"2010","450,943","422"
,,"2011","372,739","446"
,,"2012","431,977","416"
,,"2013","403,460","417"
,,"2014","412,788","426"
,,"2015","544,320","430"
,,"2016","347,556","412"
,,"2017","278,800","431"
,,"2018","310,702","476"
,,"2019","430,723","515"
,,"2020","447,809","469"
,,"2021","465,392","553"
,,"2022","573,181","514"
,,"2023","553,493","548"
,,"2024","556,036","512"
,"Management of companies and enterprises  [55]","2007","1,106,912","62"
,,"2008","583,514","64"
,,"2009","424,015","64"
,,"2010","825,303","91"
,,"2011","200,869","87"
,,"2012","719,259","109"
,,"2013","799,137","101"
,,"2014","984,436","112"
,,"2015","684,285","107"
,,"2016","445,465","77"
,,"2017","380,415","94"
,,"2018","303,276","64"
,,"2019","231,870","57"
,,"2020","187,391","50"
,,"2021","160,453","40"
,,"2022","2,005","26"
,,"2023","439","19"
,,"2024","259","11"
,"Administrative and support, waste management and remediation services  [56]","2007","261,719","152"
,,"2008","499,043","136"
,,"2009","624,728","127"
,,"2010","552,364","116"
,,"2011","614,365","127"
,,"2012","177,842","138"
,,"2013","209,609","126"
,,"2014","75,638","140"
,,"2015","310,848","125"
,,"2016","196,948","108"
,,"2017","194,503","112"
,,"2018","190,877","125"
,,"2019","188,728","144"
,,"2020","187,916","133"
,,"2021","282,017","144"
,,"2022","73,987","143"
,,"2023","114,080","160"
,,"2024","128,022","160"
,"Educational services  [61]","2007","1,474","36"
,,"2008","1,560","29"
,,"2009","1,243","31"
,,"2010","4,585","29"
,,"2011","1,555","24"
,,"2012","3,272","34"
,,"2013","2,608","30"
,,"2014","951","30"
,,"2015","2,273","30"
,,"2016","2,378","28"
,,"2017","1,619","33"
,,"2018","1,214","33"
,,"2019","1,414","30"
,,"2020","3,237","27"
,,"2021","7,174","42"
,,"2022","7,932","38"
,,"2023","7,862","42"
,,"2024","9,056","34"
,"Health care and social assistance  [62]","2007","8,746","28"
,,"2008","14,015","32"
,,"2009","7,586","29"
,,"2010","8,880","29"
,,"2011","8,005","34"
,,"2012","4,396","31"
,,"2013","3,585","37"
,,"2014","5,574","26"
,,"2015","8,154","37"
,,"2016","6,888","31"
,,"2017","8,961","39"
,,"2018","9,309","39"
,,"2019","13,974","40"
,,"2020","60,158","41"
,,"2021","29,966","60"
,,"2022","22,491","74"
,,"2023","18,801","61"
,,"2024","11,898","74"
,"Arts, entertainment and recreation  [71]","2007","12,863","101"
,,"2008","14,259","83"
,,"2009","5,013","84"
,,"2010","6,083","79"
,,"2011","4,451","79"
,,"2012","18,494","101"
,,"2013","3,698","95"
,,"2014","4,764","101"
,,"2015","9,077","97"
,,"2016","8,649","88"
,,"2017","9,849","91"
,,"2018","8,533","115"
,,"2019","8,656","126"
,,"2020","5,267","105"
,,"2021","14,348","131"
,,"2022","14,055","155"
,,"2023","16,965","163"
,,"2024","25,509","139"
,"Accommodation and food services  [72]","2007","6,215","48"
,,"2008","2,847","51"
,,"2009","66,783","52"
,,"2010","2,656","50"
,,"2011","2,199","53"
,,"2012","1,026","38"
,,"2013","5,129","29"
,,"2014","442","30"
,,"2015","1,280","38"
,,"2016","682","24"
,,"2017","376","21"
,,"2018","2,439","34"
,,"2019","2,170","33"
,,"2020","2,130","23"
,,"2021","7,529","38"
,,"2022","5,599","43"
,,"2023","5,537","42"
,,"2024","4,898","43"
,"Other services (except public administration)  [81]","2007","78,766","176"
,,"2008","44,880","167"
,,"2009","37,043","155"
,,"2010","33,277","163"
,,"2011","34,642","174"
,,"2012","31,498","145"
,,"2013","41,788","140"
,,"2014","56,250","169"
,,"2015","52,377","176"
,,"2016","47,309","149"
,,"2017","54,794","140"
,,"2018","35,129","135"
,,"2019","36,637","141"
,,"2020","46,420","155"
,,"2021","44,330","187"
,,"2022","38,811","201"
,,"2023","28,590","195"
,,"2024","34,137","176"
,"Public administration  [91]","2007","2,602","11"
,,"2008","2,356","10"
,,"2009","7,491","8"
,,"2010","14,281","14"
,,"2011","3,511","17"
,,"2012","1,174","13"
,,"2013","3,432","15"
,,"2014","4,654","9"
,,"2015","4,015","13"
,,"2016","2,866","9"
,,"2017","2,216","9"
,,"2018","6,778","21"
,,"2019","13,133","10"
,,"2020","4,615","10"
,,"2021","3,394","11"
,,"2022","23,122","8"
,,"2023","2,728","12"
,,"2024","3,269","15"
"Territories 3","All industries","2007","1,555,072","64"
,,"2008","2,386,309","62"
,,"2009","1,444,929","60"
,,"2010","1,902,193","61"
,,"2011","1,670,794","52"
,,"2012","1,677,831","51"
,,"2013","1,435,681","54"
,,"2014","2,122,309","54"
,,"2015","1,676,820","62"
,,"2016","1,403,510","58"
,,"2017","1,846,581","61"
,,"2018","2,175,579","62"
,,"2019","1,975,205","66"
,,"2020","1,326,653","66"
,,"2021","3,012,401","67"
,,"2022","3,248,287","86"
,,"2023","3,454,518","88"
,,"2024","2,997,769","99"
,"Agriculture, forestry, fishing and hunting  [11]","2007","164","F"
,,"2008","74","F"
,,"2009","96","F"
,,"2010","149","F"
,,"2011","716","3"
,,"2012","381","F"
,,"2013","215","F"
,,"2014","134","F"
,,"2015","730","F"
,,"2016","451","4"
,,"2017","443","3"
,,"2018","1,454","4"
,,"2019","563","3"
,,"2020","370","3"
,,"2021","491","F"
,,"2022","27,072","8"
,,"2023","36,541","11"
,,"2024","1,033","6"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","1,506,691","11"
,,"2008","1,803,606","8"
,,"2009","1,146,900","6"
,,"2010","1,873,494","7"
,,"2011","1,652,116","7"
,,"2012","1,649,066","6"
,,"2013","1,410,009","9"
,,"2014","1,910,407","7"
,,"2015","1,475,292","9"
,,"2016","1,105,325","7"
,,"2017","1,801,083","6"
,,"2018","2,133,873","7"
,,"2019","1,890,103","10"
,,"2020","1,302,227","8"
,,"2021","2,993,728","15"
,,"2022","3,209,218","21"
,,"2023","3,401,756","16"
,,"2024","2,984,865","20"
,"Oil and gas extraction  [211]","2007","..",".."
,,"2008","..",".."
,,"2009","1","F"
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Mining and quarrying (except oil and gas)  [212]","2007","1,488,889","6"
,,"2008","1,676,543","4"
,,"2009","1,146,899","5"
,,"2010","1,744,882","5"
,,"2011","1,651,484","6"
,,"2012","1,617,381","5"
,,"2013","1,408,999","8"
,,"2014","1,908,623","6"
,,"2015","1,475,291","8"
,,"2016","1,099,074","6"
,,"2017","1,794,987","5"
,,"2018","2,128,770","5"
,,"2019","1,883,601","6"
,,"2020","1,297,027","5"
,,"2021","2,983,037","9"
,,"2022","3,197,760","16"
,,"2023","3,396,956","12"
,,"2024","2,980,638","16"
,"Support activities for mining, and oil and gas extraction  [213]","2007","17,801","5"
,,"2008","127,062","4"
,,"2009","..",".."
,,"2010","128,612","F"
,,"2011","632","F"
,,"2012","31,685","F"
,,"2013","1,010","F"
,,"2014","1,784","F"
,,"2015","1","F"
,,"2016","6,251","F"
,,"2017","6,096","F"
,,"2018","5,103","F"
,,"2019","6,502","4"
,,"2020","5,200","3"
,,"2021","10,690","6"
,,"2022","11,458","5"
,,"2023","4,800","F"
,,"2024","4,226","F"
,"Utilities  [22]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","4","F"
,,"2011","18","F"
,,"2012","3","F"
,,"2013","..",".."
,,"2014","41","F"
,,"2015","..",".."
,,"2016","..",".."
,,"2017","6","F"
,,"2018","362","F"
,,"2019","22","F"
,,"2020","12","F"
,,"2021","5","F"
,,"2022","..",".."
,,"2023","..",".."
,,"2024","37","F"
,"Construction  [23]","2007","592","4"
,,"2008","350","4"
,,"2009","5,020","3"
,,"2010","11,828","6"
,,"2011","9,016","4"
,,"2012","13,273","4"
,,"2013","2,887","5"
,,"2014","6,648","3"
,,"2015","6,307","6"
,,"2016","219","3"
,,"2017","543","9"
,,"2018","202","6"
,,"2019","338","4"
,,"2020","500","5"
,,"2021","46","3"
,,"2022","32","F"
,,"2023","121","5"
,,"2024","425","6"
,"Manufacturing  [31-33]","2007","44,921","7"
,,"2008","41,184","9"
,,"2009","14,642","9"
,,"2010","923","8"
,,"2011","4,063","6"
,,"2012","5,548","6"
,,"2013","962","5"
,,"2014","1,106","8"
,,"2015","12,004","8"
,,"2016","25,801","8"
,,"2017","42,112","9"
,,"2018","33,893","7"
,,"2019","22,273","12"
,,"2020","3,838","10"
,,"2021","7,508","9"
,,"2022","8,068","12"
,,"2023","7,393","12"
,,"2024","2,616","12"
,"Food manufacturing  [311]","2007","..",".."
,,"2008","36","F"
,,"2009","97","3"
,,"2010","91","F"
,,"2011","37","F"
,,"2012","42","F"
,,"2013","148","F"
,,"2014","37","F"
,,"2015","113","F"
,,"2016","245","F"
,,"2017","45","F"
,,"2018","41","F"
,,"2019","92","F"
,,"2020","13","F"
,,"2021","2,948","F"
,,"2022","243","F"
,,"2023","331","F"
,,"2024","157","F"
,"Beverage and tobacco product manufacturing  [312]","2007","3","F"
,,"2008","..",".."
,,"2009","..",".."
,,"2010","6","F"
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","7","F"
,,"2015","4","F"
,,"2016","8","F"
,,"2017","4","F"
,,"2018","9","F"
,,"2019","23","F"
,,"2020","..",".."
,,"2021","51","F"
,,"2022","100","F"
,,"2023","8","F"
,,"2024","..",".."
,"Textile mills  [313]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Textile product mills  [314]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Apparel manufacturing  [315]","2007","..",".."
,,"2008","5","F"
,,"2009","..",".."
,,"2010","68","F"
,,"2011","4","F"
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","2","F"
,,"2016","..",".."
,,"2017","14","F"
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","1","F"
,"Leather and allied product manufacturing  [316]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","36","F"
,,"2017","..",".."
,,"2018","..",".."
,,"2019","5","F"
,,"2020","3","F"
,,"2021","6","F"
,,"2022","5","F"
,,"2023","19","F"
,,"2024","25","F"
,"Wood product manufacturing  [321]","2007","429","F"
,,"2008","168","F"
,,"2009","106","F"
,,"2010","245","F"
,,"2011","413","F"
,,"2012","113","F"
,,"2013","152","F"
,,"2014","248","F"
,,"2015","368","F"
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","111","F"
,,"2021","420","F"
,,"2022","313","F"
,,"2023","542","F"
,,"2024","182","F"
,"Paper manufacturing  [322]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Printing and related support activities  [323]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","22","F"
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","28","F"
,"Petroleum and coal product manufacturing  [324]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Chemical manufacturing  [325]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","280","F"
,,"2012","..",".."
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","13","F"
,,"2024","..",".."
,"Plastics and rubber products manufacturing  [326]","2007","..",".."
